,sheadline,numrech,dfyh
70,[CLS]report israeli canadian woman fighting islamic state has been kidnapped by terror group[SEP],70,2
71,[CLS]isis leader killed in us airstrikes[SEP],71,2
72,[CLS]macaulay culkin dead hoax fake death report spreads on social networks[SEP],72,0
73,[CLS]christian bale in talks to play steve jobs exclusive [SEP],73,2
74,[CLS]christian bale pulls out of upcoming steve jobs biopic[SEP],74,0
75,[CLS]isis beheads kidnapped photojournalist james wright foley in horrific video message to the you s[SEP],75,2
76,[CLS]canterbury christ church university student jess smith from chatham starred as teletubbies sun[SEP],76,0
77,[CLS]more than 200 kidnapped nigerian girls to be released after deal reached with boko haram[SEP],77,1
78,[CLS]if you really believed colorado kfcs were selling pot heres a reality check[SEP],78,2
79,[CLS]video showing american journalist beheaded believed real officials and family say[SEP],79,3
80,[CLS]no saudi tv did not blur out michelle obama face when the president met king salman[SEP],80,3
81,[CLS]breaking isis beheads american journalist james wright foley[SEP],81,0
82,[CLS]penis spray painted on a 2 5 million car was just for a prank video[SEP],82,1
83,[CLS]you s[SEP],83,2
84,[CLS] jihadi john named as mohammed emwazi from london[SEP],84,0
85,[CLS]isis border crisis dhs chief says terrorists not entering us through mexico[SEP],85,1
86,[CLS] banksy reacts to paris attack with poignant drawing[SEP],86,2
87,[CLS]here video of a bird pooping on vladimir putin in the middle of a speech[SEP],87,1
88,[CLS]google grows with 1 6 billion in california office deals[SEP],88,3
89,[CLS]pants on fire duncan hunter makes unconfirmed claim border patrol caught at least 10 isis fighters[SEP],89,0
90,[CLS]the arrest of the isis leader wife and son[SEP],90,1
91,[CLS]boko haram could release kidnapped girls nigerian officials say[SEP],91,3
92,[CLS]more than 200 kidnapped nigerian girls to be released after deal reached with boko haram[SEP],92,0
93,[CLS]doubts cast over nicaragua meteorite claim[SEP],93,3
94,[CLS]heartbroken girl spends week in kfc after getting dumped[SEP],94,2
95,[CLS]christian bale will not play steve jobs[SEP],95,1
96,[CLS]small meteorite strikes in nicaragua capital city of managua[SEP],96,2
97,[CLS]missing mexican students not found in mass grave [SEP],97,3
98,[CLS]cnn plays alleged audiotape of michael brown shootingmilitarization of police[SEP],98,2
99,[CLS]for sale tiger former island in sweden[SEP],99,0
100,[CLS]texas town quarantined after family of five test positive for the ebola virus[SEP],100,1
101,[CLS]no pumpkin spice condoms are not a real thing[SEP],101,3
102,[CLS]boko haram cease fire abducted nigerian schoolgirls to be released officials say[SEP],102,3
103,[CLS]rare meteorite impact causes blast in nicaragua capital managua[SEP],103,0
104,[CLS]daash ebola transferred to mosul google translate [SEP],104,1
105,[CLS]watch marine take sniper shot to the head and live[SEP],105,0
106,[CLS]texas plumber truck on front line of syria war[SEP],106,3
107,[CLS]italian fisherman catches monstrous 280 pound catfish[SEP],107,3
108,[CLS]isis beheading of you s[SEP],108,0
109,[CLS]iraq claims isis leader al baghdadis wife has not been arrested despite lebanon insisting woman detained at border told them she was islamist extremists spouse[SEP],109,2
110,[CLS]obama outraged over beheading vows to stay on course[SEP],110,3
111,[CLS]nationwide turkey recall [SEP],111,1
112,[CLS]homeless man receives 100 then shocks everyone with how he spends it[SEP],112,3
113,[CLS]kim jong un had surgery on fractured ankles [SEP],113,3
114,[CLS]newly discovered mass grave linked to missing mexican students[SEP],114,1
115,[CLS]this is the most epic way to quit your job[SEP],115,0
116,[CLS]continuing violence puts boko haram ceasefire in jeopardy[SEP],116,2
117,[CLS]this kid made 72 million during lunch[SEP],117,3
118,[CLS]microsoft hires dalek style robocops to guard silicon valley hq[SEP],118,0
119,[CLS]rumor stainless steel apple watch will cost 500 gold 4 000[SEP],119,2
120,[CLS]fears islamic state could launch ebola attack on britain after fighters contract virus [SEP],120,3
121,[CLS]more american weapons for isis[SEP],121,2
122,[CLS]weatherman caught peeing live on camera[SEP],122,1
123,[CLS]is kim jong un sister kim yo jong running north korea in his mysterious absence [SEP],123,2
124,[CLS]media fooled again [SEP],124,1
125,[CLS]tim cook reportedly showers with apple watch suggesting its waterproof[SEP],125,2
126,[CLS]oscar winner christian bale to play steve jobs in upcoming biopic[SEP],126,0
127,[CLS]terror leader ahmed abdi godane killed in you s[SEP],127,2
128,[CLS]nun has surprise baby after complaining of stomach pains[SEP],128,2
129,[CLS]missing libyan jetliners raise fears of terror attacks on 9 11[SEP],129,0
130,[CLS]meteorite strikes nicaraguan capital creates 16 foot deep crater[SEP],130,1
131,[CLS]islamic state in video titled a message to america beheads american journalist james wright foley who was kidnapped in 2012[SEP],131,0
132,[CLS]the arrest of the isis leader wife and son[SEP],132,1
133,[CLS]accountant says comcast got him fired for contesting bogus charges[SEP],133,2
134,[CLS]see how this homeless man spends a hundred dollars and keep a tissue handy video [SEP],134,3
135,[CLS]comcast is threatening to cut off customers who use tor the web browser for criminals[SEP],135,1
136,[CLS]david haines beheaded by isis execution video contains threats against uk reports[SEP],136,2
137,[CLS]vladimir putins motorcade looks like a massive knob[SEP],137,3
138,[CLS]led zeppelins robert plant ripped up a 924 million reunion contract[SEP],138,1
139,[CLS]seth rogen to play steve wozniak alongside christian bale steve jobs[SEP],139,3
140,[CLS]hilarious north dakota pays special tribute to president obama[SEP],140,1
141,[CLS]fears islamic state could launch ebola attack on britain after fighters contract virus [SEP],141,2
142,[CLS]that is one way to get through security [SEP],142,0
143,[CLS]batmobile stolen from batman v superman dawn of justice set zack snyder knows who did it[SEP],143,1
144,[CLS]us confirms death of somalia terror group leader[SEP],144,0
145,[CLS]catholic priest dead for 48 minutes is miraculously revived his revelations about god are even more shocking[SEP],145,1
146,[CLS]abdel majed abdel bary in foley beheading london rapper songs help identify him[SEP],146,0
147,[CLS]batmobile stolen from batman v superman dawn of justice set [SEP],147,2
148,[CLS]is militants kill 300 iraqi soldiers with chlorine gas[SEP],148,0
149,[CLS]breaking gill rosenberg former idf soldier was captured by isis[SEP],149,1
150,[CLS]canadian israeli woman may have been captured in syria reports[SEP],150,3
151,[CLS]judicial watch farrell isis terrorists did cross mexican border[SEP],151,1
152,[CLS]lebanon holding is leader daughter and ex wife [SEP],152,2
153,[CLS]vogue anna wintour pissed off with new 1 world trade center offices infested with rats[SEP],153,3
154,[CLS]nbc weatherman caught urinating in the woods live on air[SEP],154,0
155,[CLS]boko haram ceasefire ignored as violence flares in borno state[SEP],155,1
156,[CLS]macaulay culkin victim of another online death hoax[SEP],156,3
157,[CLS]isis getting ebola[SEP],157,1
158,[CLS]report christian bale will play steve jobs[SEP],158,2
159,[CLS]apple watch stainless steel variant reportedly priced at 500 4 000 for the gold variant[SEP],159,3
160,[CLS]small meteorite strikes in nicaragua capital city of managua[SEP],160,0
161,[CLS]saudis say michelle obama not blurred on tv[SEP],161,0
162,[CLS]whoa paul rudd was one of the airport heroes who took down the homophobe[SEP],162,1
163,[CLS]isis video showing beheading triggers international response[SEP],163,2
164,[CLS]breaking news baseball star jose canseco hurt in accidental shooting[SEP],164,0
165,[CLS]how did fake chinese news site dupe washington post atlantic bbc [SEP],165,0
166,[CLS]james foley remembered as brave and tireless journalist[SEP],166,2
167,[CLS]watch marine take sniper shot to the head and live[SEP],167,3
168,[CLS]apple watch to be shower proof have 100 000 apps at launch reports[SEP],168,2
169,[CLS]axl rose dead [SEP],169,0
170,[CLS]is kim jong uns sister now the power behind the north korean throne [SEP],170,3
171,[CLS]mcdonalds removing big mac apple pies and eliminating large size options[SEP],171,0
172,[CLS]according to some russians this dark figure stumbling through the snowy woods is a yeti and they even have a footprint[SEP],172,2
173,[CLS]eyewitness says viral video of homeless man was staged[SEP],173,2
174,[CLS]isis beheads american photo journalist james wright foley threatens more to come[SEP],174,0
175,[CLS]christian bale quits steve jobs movie[SEP],175,2
176,[CLS]a wanted man responded to a police facebook post that he would turn himself in[SEP],176,0
177,[CLS]no islamic state militants have not been caught by you s[SEP],177,1
178,[CLS]new ios 8 bug can delete all of your icloud documents[SEP],178,3
179,[CLS]hoax report claims 250 000 texas turkeys infected with ebola[SEP],179,1
180,[CLS]us lawmaker ten isis fighters have been apprehended coming across southern border video [SEP],180,2
181,[CLS]would be rapist has penis severed by angry mob[SEP],181,3
182,[CLS]video purports to show beheading of you s[SEP],182,2
183,[CLS]durex is not making pumpkin spice condoms after all a hoax debunked[SEP],183,3
184,[CLS]her majestys magic mushrooms[SEP],184,0
185,[CLS]did josh paler lin stage his viral video about helping the homeless [SEP],185,1
186,[CLS]jihadi john unmasked islamic state killer named as west londoner mohammed emwazi[SEP],186,2
187,[CLS]islamic state beheads missing american journalist james wright foley[SEP],187,3
188,[CLS] isis beheads photojournalist james wright foley in a massage to us to end its intervention in iraq[SEP],188,0
189,[CLS]graffiti artist banksy arrested in london identity revealed[SEP],189,1
190,[CLS]pumpkin spice condoms could be the only thing to save the world from basic children[SEP],190,2
191,[CLS]spider burrows into australian man appendix scar video [SEP],191,3
192,[CLS]islamic state in video titled a message to america beheads american journalist james wright foley who was kidnapped in 2012[SEP],192,0
193,[CLS]bali spider burrows under aussies chest[SEP],193,1
194,[CLS]dna tests prove lebanon is holding isis chief al baghdadi ex wife and daughter after they were caught with fake passports[SEP],194,2
195,[CLS]michael brown shooting audio caught on tape [SEP],195,3
196,[CLS]wtc rats scare off anna wintour[SEP],196,0
197,[CLS]oscar winner christian bale to play steve jobs in upcoming biopic[SEP],197,1
198,[CLS]cnn airs alleged audio from michael brown shooting[SEP],198,2
199,[CLS]breaking news isis beheads missing american journalist james wright foley as warning to us to cease action in iraq[SEP],199,3
200,[CLS]hbo and apple in talks for 15 month apple tv streaming service launching in april[SEP],200,3
201,[CLS]woman detained in lebanon is not al baghdadi wife iraq says[SEP],201,0
202,[CLS]catholic priest dead for 48 minutes is miraculously revived his revelations about god are even more shocking[SEP],202,3
203,[CLS]bali spider burrows under aussies chest[SEP],203,3
204,[CLS]michael phelps self proclaimed girlfriend says she was born a boy and reveals amazing sex with olympian[SEP],204,0
205,[CLS]no robert plant did not rip up an 800 million contract[SEP],205,0
206,[CLS]80 brat pack star judd nelson forced to deny that he is dead after fake news story starts trending on social media[SEP],206,3
207,[CLS]british aid worker confirmed murdered by isis[SEP],207,3
208,[CLS]rumor debunked robocop style robots are not patrolling microsoft campus[SEP],208,0
209,[CLS]islamic state leader family detained by lebanon officials say[SEP],209,2
210,[CLS]vandals add rude paint job to 2 5m bugatti but luckily for the owner it all turned out to be a hoax [SEP],210,3
211,[CLS]jihadi john the islamic state killer behind the mask is a young londoner[SEP],211,2
212,[CLS]boko haram ceasefire ignored as violence flares in borno state[SEP],212,1
213,[CLS]tropical spider burrows under man skin through scar[SEP],213,3
214,[CLS]wild misinformation brian williams explains the mike seidel liveshot[SEP],214,0
215,[CLS]lol rich johnston says the batmobile has been stolen in detroit[SEP],215,2
216,[CLS]news all dogs go to heaven [SEP],216,0
217,[CLS]two blokes dared to eat 20 year old burger for charity[SEP],217,0
218,[CLS]jeh johnson politicians should not feed the flames of fear over isis ebola[SEP],218,0
219,[CLS]would you take a bite out of the world oldest burger [SEP],219,3
220,[CLS]watch marine take sniper shot to the head and live[SEP],220,3
221,[CLS]boko haram ceasefire doubts after attacks reported in nigeria[SEP],221,1
222,[CLS]seth rogen eyed to play apple steve wozniak in christian bale steve jobs movie exclusive [SEP],222,2
223,[CLS]new audio reveals pause in gunfire when michael brown was shot attorney[SEP],223,0
224,[CLS]james foley remembered as brave and tireless journalist[SEP],224,2
225,[CLS]doubts cast over nicaragua meteorite claim[SEP],225,3
226,[CLS]militant group says it killed american journalist in syria[SEP],226,2
227,[CLS]met police denies reports of banksy arrest[SEP],227,0
228,[CLS]hope fades for girls release after boko haram truce breached[SEP],228,2
229,[CLS]texas turkey farm contaminated with ebola over 250 000 holiday turkeys infected[SEP],229,3
230,[CLS]vogues rat infestation disturbing new details[SEP],230,0
231,[CLS]sugarhill gang rapper big bank hank dies aged 57[SEP],231,1
232,[CLS]actor has his testicles stolen after meeting young blonde woman at a bar[SEP],232,2
233,[CLS]tiger woods selling swedish villa island included[SEP],233,3
234,[CLS]cbi registers criminal conspiracy case against dera chief after claims 400 male followers were forcibly castrated[SEP],234,2
235,[CLS]lego letter to parents in 1974 on gender equality still resonates 40 years on[SEP],235,0
236,[CLS]who is michael zehaf bibeau [SEP],236,3
237,[CLS]israeli canadian fighting isis posts on facebook I am safe and secure[SEP],237,1
238,[CLS]armed you s[SEP],238,2
239,[CLS]taylor lianne chandler michael phelps cougar girlfriend revealed [SEP],239,3
240,[CLS]seth rogen set to play steve wozniak in danny boyle steve jobs biopic[SEP],240,3
241,[CLS] star wars vii news update jj abrams pushing for summer release [SEP],241,2
242,[CLS]nasa questions whether crater in nicaragua caused by meteorite[SEP],242,3
243,[CLS]abdel majed abdel bary in foley beheading london rapper songs help identify him[SEP],243,2
244,[CLS]sick mum sedated after trying to eat baby[SEP],244,0
245,[CLS]seth rogen is woz[SEP],245,3
246,[CLS] isis beheads photojournalist james wright foley in a massage to us to end its intervention in iraq[SEP],246,0
247,[CLS]us drones hunting for isis leader seen flying over syrian airspace[SEP],247,0
248,[CLS]that story about a catholic priest dying seeing god as a woman and coming back to life [SEP],248,3
249,[CLS]despite no ebola case in kansas city the rumor goes viral[SEP],249,0
250,[CLS]web of confusion as scientists cast doubt on man claims that a spider burrowed into his stomach through his scar[SEP],250,2
251,[CLS]experts more facts needed on purported audio recording of michael brown shooting[SEP],251,3
252,[CLS]bugatti veyron vandalized with penis graffiti [SEP],252,0
253,[CLS]islamic state releases video apparently showing the beheading of missing us journalist james foley[SEP],253,2
254,[CLS]catholic priest dead for 48 minutes is miraculously revived his revelations about god are even more shocking[SEP],254,3
255,[CLS]lynch mob chop man penis off after catching him allegedly trying to rape teenager[SEP],255,2
256,[CLS]homeless man receives 100 then shocks everyone with how he spends it[SEP],256,0
257,[CLS]planetary alignment on jan 4 2015 will decrease gravity for 5 minutes causing partial weightlessness[SEP],257,3
258,[CLS]michael phelps alleged girlfriend says she was born intersex[SEP],258,0
259,[CLS]op ed hoax priest who never existed claims he died saw female god[SEP],259,1
260,[CLS]explosion reported near the nicaraguan capital attributed to meteorite impact but experts including nasa cast doubt on claims[SEP],260,3
261,[CLS]rumors of isis leader death debunked[SEP],261,3
262,[CLS]scientists doubt that meteor caused crater in nicaragua[SEP],262,0
263,[CLS]video appears to show beheading of journalist james foley who went missing in syria[SEP],263,2
264,[CLS]high school student scores 72m playing the stock market[SEP],264,2
265,[CLS]microsoft silicon valley campus now guarded by daleks[SEP],265,0
266,[CLS]north korean leader kim jong un not missing just having ankle surgery[SEP],266,2
267,[CLS]christian bale drops out of steve jobs biopic[SEP],267,3
268,[CLS]espn to save nfl image with all male domestic abuse discussion[SEP],268,1
269,[CLS]north korean leader kim jong uns mystery illness actually two broken ankles newspaper says[SEP],269,2
270,[CLS]christian bale in talks to play steve jobs in danny boyle biopic[SEP],270,2
271,[CLS]seth rogen to play apples steve wozniak[SEP],271,3
272,[CLS]cold turkey[SEP],272,0
273,[CLS]real life magneto boy becomes living magnet after getting massive electric shock from street lamp[SEP],273,0
274,[CLS]british rapper a suspect in isis beheading[SEP],274,3
275,[CLS]weather reporter caught writing his name in the snow was not ready to go on camera updated [SEP],275,1
276,[CLS]has ebola infected isis militants in mosul [SEP],276,2
277,[CLS]isis executioner jihadi john identified as mohammed emwazi[SEP],277,0
278,[CLS]bali awry[SEP],278,3
279,[CLS]god is a woman resurrected father narated[SEP],279,0
280,[CLS]expert casts doubt on bunbury man dylan thomass burrowing stomach spider story[SEP],280,2
281,[CLS]eggnog chugging contest leads to hospital stay[SEP],281,3
282,[CLS]managua explosion not a meteorite nasa suggests[SEP],282,0
283,[CLS]boko haram agrees to ceasefire release of school girls[SEP],283,1
284,[CLS]batman vs superman batmobile stolen[SEP],284,2
285,[CLS]why the gold apple watch edition must cost 10 000[SEP],285,3
286,[CLS]isis fighters have contracted ebola[SEP],286,3
287,[CLS]saudi cleric says snowmen are anti islamic[SEP],287,0
288,[CLS]staff reporter[SEP],288,2
289,[CLS]jess smith 19 claims she was teletubbies giggling baby what did she get paid [SEP],289,3
290,[CLS]pga tour denies claim that tiger woods failed a drug test[SEP],290,0
291,[CLS]michael brown shooting audio caught on tape [SEP],291,2
292,[CLS]god is a woman resurrected father narated[SEP],292,3
293,[CLS]oscar winner christian bale to play steve jobs in upcoming biopic[SEP],293,0
294,[CLS]seth rogen to play apples steve wozniak[SEP],294,2
295,[CLS]james foley american journalist james wright foley beheaded in new isis video breaking news [SEP],295,0
296,[CLS]that boko haram ceasefire in nigeria is not a ceasefire[SEP],296,1
297,[CLS]kim jong un broke both ankles and is hospitalized report claims[SEP],297,2
298,[CLS]does vogue new office have a rat infestation [SEP],298,2
299,[CLS]david haines beheading video confirmed genuine uk pm cameron vows to hunt down isis monsters [SEP],299,3
300,[CLS]god is a woman priest who died for 48 minutes claims[SEP],300,1
301,[CLS]in moscow police are looking for a felon cut the male genitals[SEP],301,0
302,[CLS]the baby from teletubbies reveals herself[SEP],302,0
303,[CLS]nigeria announces truce with boko haram fate of schoolgirls unclear[SEP],303,3
304,[CLS]jeh johnson shoots down duncan hunter assertion is is entering you s[SEP],304,0
305,[CLS]graffiti artist banksy arrested in london identity revealed[SEP],305,1
306,[CLS]meteorite leaves crater in nicaraguan capital managua[SEP],306,2
307,[CLS]islamic state beheads missing american journalist james wright foley[SEP],307,3
308,[CLS]gill rosenberg canadian israeli woman feared kidnapped by isis says she is safe[SEP],308,0
309,[CLS]tropical spider burrows under man skin lives there for three days[SEP],309,1
310,[CLS]gop rep at least ten isis fighters have been caught coming across the mexican border[SEP],310,2
311,[CLS]scientists doubt that meteor caused crater in nicaragua[SEP],311,3
312,[CLS]banksy arrest hoax us website claims street artist caught in watford[SEP],312,0
313,[CLS]meteorite makes big crater in nicaragua government says[SEP],313,1
314,[CLS] spiderman squished perth experts debunk spider burrowing claims[SEP],314,2
315,[CLS]christian bale in talks to play steve jobs in sony next biopic[SEP],315,3
316,[CLS]mystery man slaps shoppers around head for sneezing[SEP],316,0
317,[CLS]this woman is wrongly being called a sexual predator after her private sex tape was used for a hoax[SEP],317,1
318,[CLS]boko haram could release kidnapped girls nigerian officials say[SEP],318,2
319,[CLS]nigeria says boko haram cease fire may lead to release of kidnapped girls[SEP],319,3
320,[CLS]christian bale passes on role of steve jobs actor reportedly felt he was not right for part[SEP],320,0
321,[CLS]a bunch of folks are passing around this hoax video of a bird pooping on vladimir putin[SEP],321,1
322,[CLS]no a spider did not burrow under a man skin and live there for days[SEP],322,2
323,[CLS]calm yourselves durex has not come out with a pumpkin spice condom[SEP],323,3
324,[CLS]ottawa shooting soldier shot at canada national war memorial[SEP],324,0
325,[CLS]batmobile stolen from batman v superman dawn of justice set zack snyder knows who did it[SEP],325,1
326,[CLS]aaron sorkin confirms christian bale will play steve jobs[SEP],326,2
327,[CLS]islamic state flying three jets in syria monitor[SEP],327,3
328,[CLS]lynch mob use butcher meat cleaver to castrate rapist they caught attacking teenage girl in alleyway in indian city[SEP],328,0
329,[CLS]this kid made 72 million during lunch[SEP],329,1
330,[CLS]is this proof of bigfoot [SEP],330,2
331,[CLS]kim jong un relying on cobra wine after problems with trouser snake[SEP],331,3
332,[CLS]macaulay culkin is the latest victim of a celebrity death hoax and these 9 stars know exactly how he feels [SEP],332,0
333,[CLS]eyewitness says viral video of homeless man was staged[SEP],333,1
334,[CLS]apple hbo deal seen launching web only apple tv streaming service for 15 per month[SEP],334,2
335,[CLS]former you s[SEP],335,3
336,[CLS]the iphone 6 hairgate is not a thing[SEP],336,0
337,[CLS]hundreds of palestinians flee floods in gaza as israel opens dams[SEP],337,1
338,[CLS]nasa raises doubts about reports of nicaraguan meteorite[SEP],338,2
339,[CLS]eyewitness says viral video of homeless man was staged[SEP],339,3
340,[CLS]isis border crisis dhs chief says terrorists not entering us through mexico[SEP],340,0
341,[CLS]rumor debunked robocop style robots are not patrolling microsoft campus[SEP],341,1
342,[CLS]kanye banned[SEP],342,2
343,[CLS]new audio shows michael brown was shot at 11 times[SEP],343,3
344,[CLS]james foley remembered as brave and tireless journalist[SEP],344,0
345,[CLS]paradise is open to all even dogs pope tells boy[SEP],345,1
346,[CLS]reports jihadists steal commercial jets raise 9 11 fears[SEP],346,2
347,[CLS]meteorite strike in nicaragua puzzles experts[SEP],347,3
348,[CLS]man chops off his own penis after girlfriend told him he was no good in bed[SEP],348,0
349,[CLS]country music legend willie nelson dies at age 81[SEP],349,1
350,[CLS]new york city plans to end arrests for possession of small amounts of marijuana[SEP],350,2
351,[CLS]hunt for cruel owner who abandoned dog at train station[SEP],351,3
352,[CLS]once again the banksy arrest is a giant hoax[SEP],352,0
353,[CLS]christian bale is steve jobs[SEP],353,1
354,[CLS]meet the x boy electric shock turns kid into magneto[SEP],354,2
355,[CLS]rare case seven bosnian girls aged 13 and 14 fall pregnant after five day school trip parents outraged after school cites parental neglect [SEP],355,3
356,[CLS]dead for 48 minutes this catholic priest claims god is female[SEP],356,0
357,[CLS]espn domestic violence panel is missing something important[SEP],357,1
358,[CLS]mexico says students not among dead in mass grave[SEP],358,2
359,[CLS]isis claims it kidnapped gill rosenberg the first western woman to fall into the group hands[SEP],359,3
360,[CLS]watch us marine get shot in head by taliban sniper and live to tell tale[SEP],360,0
361,[CLS]michelle obamas face blurred by saudi state television[SEP],361,1
362,[CLS]seven high school girls get pregnant on five day school trip parents outraged[SEP],362,2
363,[CLS]what tbss sped up seinfeld reruns tell us about the sorry state of america[SEP],363,3
364,[CLS]isis beheads kidnapped photojournalist james wright foley in horrific video message to the you s[SEP],364,0
365,[CLS]dylan thomas finds tropical spider burrowed under skin[SEP],365,1
366,[CLS]apple new macbook will be a thinner cleaner faster 12 inch macbook air[SEP],366,2
367,[CLS]islamic state claims to have beheaded american journalist[SEP],367,3
368,[CLS]us confirms death of somalia terror group leader[SEP],368,0
369,[CLS]tropical spider burrows under man skin lives there for three days[SEP],369,1
370,[CLS]seth rogen to play steve wozniak in steve jobs biopic[SEP],370,2
371,[CLS]boko haram ceasefire doubts after attacks reported in nigeria[SEP],371,3
372,[CLS]italian fisherman catches monstrous 280 pound catfish[SEP],372,0
373,[CLS]explosion reported near the nicaraguan capital attributed to meteorite impact but experts including nasa cast doubt on claims[SEP],373,1
374,[CLS]mechanical polar bear threatened with asbo for singing christmas songs[SEP],374,2
375,[CLS]us probing claims isis fighters seized airdropped weapons meant for kurds[SEP],375,3
376,[CLS]isil beheads american photojournalist in iraq[SEP],376,0
